Order,Family,Genus,Species,spawningMode,FemaleSize_mm,sizeType,eggSize_mm,typeOfWork_eggSize,timeToEggMeasurement_months,Location,Date,sampleSize,Fertilized,Live,Latitude,Longitude,ReferencePdf,lnSize,lnEggSize,absLatitude
Beloniformes,Scomberesocidae,Scomberesox,Scomberesox saurus,pelagic,NA,,2.35,,NA,off coastal Chile,1967 August - September,,TRUE,FALSE,-14.296667,-83.06167,ahlstrom_eh_1972_f70_1153.pdf,NA,0.854415328,14.296667
Beloniformes,Scomberesocidae,Scomberesox,Scomberesox saurus,pelagic,NA,,2.34,,NA,off coastal Chile,1967 August - September,,TRUE,FALSE,-18.46,-73.10167,ahlstrom_eh_1972_f70_1153.pdf,NA,0.850150929,18.46
Beloniformes,Scomberesocidae,Scomberesox,Scomberesox saurus,pelagic,NA,,2.34,,NA,off coastal Chile,1967 August - September,,TRUE,FALSE,-12.941667,-79.46333,ahlstrom_eh_1972_f70_1153.pdf,NA,0.850150929,12.941667
Beloniformes,Scomberesocidae,Scomberesox,Scomberesox saurus,pelagic,NA,,2.34,,NA,off coastal Chile,1967 August - September,,TRUE,FALSE,-10.15,-82.14167,ahlstrom_eh_1972_f70_1153.pdf,NA,0.850150929,10.15
Beloniformes,Scomberesocidae,Scomberesox,Scomberesox saurus,pelagic,NA,,2.34,,NA,off coastal Chile,1967 August - September,,TRUE,FALSE,-9.833333,-80.88333,ahlstrom_eh_1972_f70_1153.pdf,NA,0.850150929,9.833333
Beloniformes,Scomberesocidae,Scomberesox,Scomberesox saurus,pelagic,NA,,2.33,,NA,off coastal Chile,1967 August - September,,TRUE,FALSE,-20.15,-70.53,ahlstrom_eh_1972_f70_1153.pdf,NA,0.845868268,20.15
Beloniformes,Scomberesocidae,Scomberesox,Scomberesox saurus,pelagic,NA,,2.32,,NA,off coastal Chile,1967 August - September,,TRUE,FALSE,-18.533333,-71.7,ahlstrom_eh_1972_f70_1153.pdf,NA,0.841567186,18.533333
Beloniformes,Scomberesocidae,Scomberesox,Scomberesox saurus,pelagic,NA,,2.32,,NA,off coastal Chile,1967 August - September,,TRUE,FALSE,-20.18,-71.55333,ahlstrom_eh_1972_f70_1153.pdf,NA,0.841567186,20.18
Clupeiformes,Clupeidae,Alosa,Alosa mediocris,demersal,391.16,TL,1.49,Field,NA,"Mouth of Patuxent River, Chesapeake Bay, MD, USA",1956 May,,TRUE,TRUE,38.321696,-76.352532,mansueti_rj_1962_c3_173.pdf,5.969116683,0.39877612,38.321696
Clupeiformes,Clupeidae,Brevoortia,Brevoortia patronus,pelagic,200,TL,1.29,Field/Lab,2,"Gulf Breeze, Florida, USA",1981 September,,TRUE,FALSE,30.279252,-87.199144,hettler_wf_1984_f82_85.pdf,5.298317367,0.254642218,30.279252
Clupeiformes,Clupeidae,Brevoortia,Brevoortia patronus,pelagic,178,TL,1.2,Field/Lab,2,"Gulf Breeze, Florida, USA",1982 December,,TRUE,TRUE,30.279252,-87.199144,hettler_wf_1984_f82_85.pdf,5.18178355,0.182321557,30.279252
Clupeiformes,Clupeidae,Brevoortia,Brevoortia tyrannus,pelagic,NA,,1.61,,NA,Long Island Sound USA,1952 March - 1954 March,,TRUE,FALSE,41.103919,-72.908416,wheatland_sb_1956_b15_234.pdf,NA,0.476234179,41.103919
Clupeiformes,Clupeidae,Brevoortia,Brevoortia tyrannus,pelagic,NA,,1.73,,NA,Long Island Sound USA,1954 May - July,47,TRUE,TRUE,41.103919,-72.908416,richards_sw_1959_b17_95.pdf,NA,0.548121409,41.103919
Clupeiformes,Clupeidae,Brevoortia,Brevoortia tyrannus,pelagic,NA,,1.515,,NA,Long Island Sound USA,1954 August - December,31,TRUE,TRUE,41.103919,-72.908416,richards_sw_1959_b17_95.pdf,NA,0.415415439,41.103919
Clupeiformes,Clupeidae,Brevoortia,Brevoortia tyrannus,pelagic,NA,,1.665,,NA,Long Island Sound USA,1955 June - July,10,TRUE,TRUE,41.103919,-72.908416,richards_sw_1959_b17_95.pdf,NA,0.509825123,41.103919
Clupeiformes,Clupeidae,Brevoortia,Brevoortia tyrannus,pelagic,NA,,1.55,,NA,Long Island Sound USA,1955 October,24,TRUE,TRUE,41.103919,-72.908416,richards_sw_1959_b17_95.pdf,NA,0.438254931,41.103919
